Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT,T,IMP_VOLT_RANGE,MODEL_PRICE
233,/GDAX118000F0.EX,2020-05-15,2020-06-19,CALL,11800.0,12.2,23.22,0.09582477754962354,23,9.604202233504111e-08
231,/GDAX117500F0.EX,2020-05-15,2020-06-19,CALL,11750.0,14.2,23.23,0.09582477754962354,23,0.0
235,/GDAX118500F0.EX,2020-05-14,2020-06-19,CALL,11850.0,10.5,23.23,0.09856262833675565,23,7.570868376660655e-10
237,/GDAX119000F0.EX,2020-05-14,2020-06-19,CALL,11900.0,9.1,23.25,0.09856262833675565,23,0.0
229,/GDAX117000F0.EX,2020-05-15,2020-06-19,CALL,11700.0,16.5,23.26,0.09582477754962354,23,0.0
239,/GDAX119500F0.EX,2020-05-15,2020-06-19,CALL,11950.0,7.9,23.32,0.09582477754962354,23,9.990229976608589e-09
227,/GDAX116500F0.EX,2020-05-14,2020-06-19,CALL,11650.0,19.1,23.33,0.09856262833675565,23,5.971504535295935e-08
232,/GDAX117500R0.EX,2020-04-30,2020-06-19,PUT ,11750.0,1448.3,23.35,0.13689253935660506,23,10382.400233538065
230,/GDAX117000R0.EX,2020-04-30,2020-06-19,PUT ,11700.0,1400.5,23.35,0.13689253935660506,23,10379.856828060849
234,/GDAX118000R0.EX,2020-05-14,2020-06-19,PUT ,11800.0,1496.3,23.35,0.09856262833675565,23,10361.995480672414
236,/GDAX118500R0.EX,2020-05-06,2020-06-19,PUT ,11850.0,1544.7,23.36,0.12046543463381246,23,10376.891160678055
241,/GDAX120000F0.EX,2020-05-15,2020-06-19,CALL,12000.0,6.8,23.4,0.09582477754962354,23,0.0
225,/GDAX116000F0.EX,2020-05-15,2020-06-19,CALL,11600.0,22.2,23.41,0.09582477754962354,23,0.0
228,/GDAX116500R0.EX,2020-04-30,2020-06-19,PUT ,11650.0,1353.2,23.41,0.13689253935660506,23,10376.813422812726
238,/GDAX119000R0.EX,2020-05-15,2020-06-19,PUT ,11900.0,1593.3,23.42,0.09582477754962354,23,10363.85255301736
226,/GDAX116000R0.EX,2020-05-15,2020-06-19,PUT ,11600.0,1306.2,23.46,0.09582477754962354,23,10349.51172850219
243,/GDAX120500F0.EX,2020-05-14,2020-06-19,CALL,12050.0,6.0,23.46,0.09856262833675565,23,5.57604469264561e-08
240,/GDAX119500R0.EX,2020-05-05,2020-06-19,PUT ,11950.0,1642.1,23.5,0.12320328542094455,23,10381.741166388554
223,/GDAX115500F0.EX,2020-05-15,2020-06-19,CALL,11550.0,25.8,23.51,0.09582477754962354,23,1.4840718876030223e-08
245,/GDAX121000F0.EX,2020-05-15,2020-06-19,CALL,12100.0,5.2,23.56,0.09582477754962354,23,5.930880764282165e-08
224,/GDAX115500R0.EX,2020-04-27,2020-06-19,PUT ,11550.0,1259.8,23.57,0.14510609171800137,23,10374.303497282115
242,/GDAX120000R0.EX,2020-05-15,2020-06-19,PUT ,12000.0,1691.1,23.59,0.09582477754962354,23,10366.532822588473
221,/GDAX115000F0.EX,2020-05-15,2020-06-19,CALL,11500.0,30.0,23.65,0.09582477754962354,23,0.0
222,/GDAX115000R0.EX,2020-05-15,2020-06-19,PUT ,11500.0,1213.9,23.7,0.09582477754962354,23,10341.331455054044
244,/GDAX120500R0.EX,2020-05-15,2020-06-19,PUT ,12050.0,1740.3,23.71,0.09582477754962354,23,10367.572962960196
247,/GDAX121500F0.EX,2020-05-12,2020-06-19,CALL,12150.0,4.6,23.72,0.10403832991101986,23,2.1397678295898004e-08
219,/GDAX114500F0.EX,2020-05-15,2020-06-19,CALL,11450.0,34.8,23.83,0.09582477754962354,23,2.1428100183129573e-08
249,/GDAX122000F0.EX,2020-05-14,2020-06-19,CALL,12200.0,4.0,23.83,0.09856262833675565,23,9.609292916934464e-08
220,/GDAX114500R0.EX,2020-05-04,2020-06-19,PUT ,11450.0,1168.7,23.86,0.12594113620807665,23,10353.62879147407
246,/GDAX121000R0.EX,2020-05-13,2020-06-19,PUT ,12100.0,1789.6,23.88,0.10130047912388775,23,10371.842261778213
