PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
CALL,39.5,inf,True
PUT ,39.69,5.025823826031212,True
PUT ,39.72,24.873580442486613,True
CALL,39.74,,False
PUT ,40.05,6.9238926940646275,True
PUT ,40.16,5.3153209394481244,True
CALL,40.22,,False
PUT ,40.6,20.54578036431748,True
PUT ,40.63,5.016494326503785,True
CALL,40.69,,False
PUT ,40.93,32.61723994089367,True
PUT ,41.12,5.158910593910907,True
CALL,41.18,inf,True
PUT ,41.25,6.99534089539233,True
PUT ,41.58,5.007925990634063,True
PUT ,41.58,7.01913456464914,True
CALL,41.65,,False
PUT ,42.06,5.0039389466002016,True
CALL,42.11,,False
PUT ,42.13,7.662456353619759,True
CALL,42.14,inf,True
PUT ,42.45,7.066790380693617,True
PUT ,42.53,5.000079797309403,True
CALL,42.6,inf,True
PUT ,42.77,34.39459747122559,True
PUT ,43.0,4.996404916031452,False
CALL,43.07,inf,True
PUT ,43.32,7.114378276303871,True
PUT ,43.45,4.992861203356194,False
CALL,43.55,,False
PUT ,43.64,12.4504893765618,True
PUT ,43.92,4.989505605958627,False
CALL,44.02,inf,True
PUT ,44.39,4.986284720376407,False
CALL,44.49,inf,True
CALL,44.63,inf,True
PUT ,44.85,4.983144281472394,False
CALL,44.95,inf,True
PUT ,45.32,4.9801975580872995,False
CALL,45.42,inf,True
PUT ,45.79,6.296234187972417,True
CALL,45.91,inf,True
PUT ,46.25,4.97455542265422,False
CALL,46.39,,False
PUT ,46.73,4.971862170209626,False
CALL,46.87,,False
CALL,47.07,,False
PUT ,47.21,4.969312799748934,False
CALL,47.35,inf,True
PUT ,47.43,9.76864079036986,True
PUT ,47.69,4.966794394907572,False
CALL,47.83,,False
PUT ,48.16,4.964422792406886,False
CALL,48.32,,False
PUT ,48.65,4.962142073320991,False
CALL,48.81,inf,True
PUT ,49.13,4.959953535995487,False
CALL,49.29,inf,True
CALL,49.42,,False
PUT ,49.62,4.95779993824482,False
CALL,49.81,inf,True
PUT ,50.1,4.955799518962753,False
CALL,50.29,,False
PUT ,50.59,4.953895417739077,False
CALL,50.81,,False
PUT ,51.08,4.952029620779813,False
PUT ,51.09,25.708222491334997,True
CALL,51.3,inf,True
PUT ,51.57,5.095213085859116,True
CALL,51.7,inf,True
CALL,51.81,inf,True
PUT ,52.07,4.948535482669298,False
CALL,52.32,inf,True
PUT ,52.55,4.946909636662042,False
CALL,52.81,inf,True
PUT ,53.05,4.945386589003549,False
CALL,53.31,inf,True
PUT ,53.52,6.547268132866025,True
CALL,53.82,,False
CALL,53.91,,False
PUT ,54.03,5.087257022132766,True
CALL,54.33,,False
PUT ,54.5,5.08582587138509,True
CALL,54.84,inf,True
PUT ,54.88,7.8528268817740425,True
PUT ,55.01,4.939859613435209,False
CALL,55.36,,False
PUT ,55.5,4.938686456177366,False
CALL,55.86,,False
PUT ,55.99,4.937499016537412,False
CALL,56.39,inf,True
PUT ,56.46,4.936360280459818,False
CALL,56.9,inf,True
PUT ,56.97,4.935271105172733,False
CALL,57.39,,False
PUT ,57.46,4.934232373723658,False
CALL,57.93,,False
PUT ,57.96,4.933180598234327,False
CALL,58.44,inf,True
PUT ,58.44,5.076668129560594,True
PUT ,58.55,8.09110524841529,True
PUT ,58.93,4.931297686448828,False
CALL,58.97,inf,True
PUT ,59.39,5.074705252667329,True
CALL,59.48,inf,True
PUT ,59.88,4.929498088199174,False
CALL,60.0,inf,True
CALL,60.5,inf,True
PUT ,60.82,5.072077350609713,True
CALL,61.53,inf,True
PUT ,61.71,4.926229288146176,False
PUT ,61.89,8.329401979662904,True
CALL,62.52,,False
PUT ,62.59,5.068972809281658,True
CALL,63.46,,False
PUT ,64.4,4.922148252370075,False
PUT ,65.28,4.920996680632038,False
PUT ,65.37,102.32973061402708,True
CALL,65.46,inf,True
PUT ,66.2,4.919884328298461,False
CALL,66.49,inf,True
PUT ,67.11,5.4961987731554025,True
CALL,67.59,,False
PUT ,68.11,6.221187722976312,True
PUT ,68.53,8.806050997527471,True
CALL,68.69,inf,True
PUT ,69.12,4.917178837777378,False
CALL,69.89,,False
PUT ,70.15,5.060359978287172,True
CALL,71.03,,False
PUT ,71.09,6.509882540234749,True
PUT ,71.82,9.309235990819458,True
PUT ,72.07,6.509103076893844,True
CALL,72.32,inf,True
PUT ,73.1,4.914480373103687,False
CALL,73.55,,False
PUT ,74.23,4.913934542591422,False
CALL,74.85,,False
PUT ,76.2,4.9129563915227275,False
CALL,76.23,inf,True
CALL,77.58,inf,True
PUT ,78.51,5.055917059643811,True
PUT ,79.69,5.055535926828982,True
CALL,80.47,inf,True
PUT ,83.06,5.054596734468257,True
CALL,83.6,inf,True
CALL,85.14,inf,True
PUT ,86.42,6.356713232960508,True
PUT ,87.27,5.053689120560125,True
PUT ,88.72,5.485878104249967,True
PUT ,90.13,5.341334800214419,True
PUT ,90.41,4.90929226242511,False
CALL,90.57,inf,True
PUT ,92.7,10.512394600478459,True
PUT ,93.82,7.52673461638073,True
PUT ,94.76,7.526597055387568,True
PUT ,95.43,7.5264527890434545,True
CALL,96.34,42.39138609475399,True
PUT ,97.84,7.5263013156197225,True
CALL,98.39,30.835538757525217,True
CALL,100.78,24.009673344175443,True
PUT ,102.66,5.052144765887147,True
CALL,102.89,19.556074758110988,True
CALL,105.36,45.20515789797388,True
CALL,107.54,46.88020989664047,True
CALL,110.11,12.17929926380501,True
CALL,112.74,10.689240982001795,True
CALL,115.42,9.466716850894185,True
CALL,118.17,25.67086503362238,True
CALL,130.77,15.825723845725959,True
PUT ,150.5,7.084662899607906,True
CALL,203.25,1.5523142139415897,False
